Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
2023/1/2,10:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.9,22.8,74,101400,737,1411,443,255,51,229,28320,3408,25516,1224,10,2.1,9,9,10,4877,9,'999999999,459,0,0,88,999,0,1
2023/1/2,11:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,28.3,22.8,72,101300,982,1411,446,426,130,336,47725,9814,37865,1909,20,3.6,9,9,12,4800,9,'999999999,459,0,0,88,999,0,1
2023/1/2,12:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,29.4,23.2,69,101300,1160,1411,453,591,214,415,66799,16759,47288,2412,20,2.6,9,9,10,7010,9,'999999999,469,0,0,88,999,0,1
2023/1/2,13:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,30.4,23.2,65,101200,1258,1411,459,832,545,346,96648,37452,40456,1988,40,4.1,9,9,10,9144,9,'999999999,469,0,0,88,999,0,1
2023/1/2,14:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,30.4,22.8,64,101100,1269,1411,458,875,644,296,103168,41404,35092,1695,50,5.1,9,9,14,9000,9,'999999999,459,0,0,88,999,0,1
2023/1/2,15:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,31.1,22.8,61,101000,1193,1411,462,689,407,345,79416,28794,39999,1999,60,6.2,9,9,10,9144,9,'999999999,459,0,0,88,999,0,1
2023/1/2,16:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,30.8,22.9,63,100900,1035,1411,461,580,264,386,64772,21076,43456,2218,60,6.2,9,9,10,5486,9,'999999999,459,0,0,88,999,0,1
2023/1/2,17:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,29.8,22.5,65,100900,806,1411,454,363,108,302,39937,8355,33346,1646,50,4.6,9,9,14,9000,9,'999999999,450,0,0,88,999,0,1
2023/1/2,18:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,29,22.4,68,100900,521,1411,449,177,31,165,19289,1759,18131,827,50,4.6,9,9,10,8230,9,'999999999,450,0,0,88,999,0,1
2023/1/2,19:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,28.1,22.7,73,101000,204,1411,444,62,32,57,6689,0,6209,254,50,3.6,9,9,10,8382,9,'999999999,450,0,0,88,999,0,1
2023/1/2,20:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.5,22.8,76,101100,2,164,441,0,0,0,41,0,41,1,50,3.6,9,9,14,8400,9,'999999999,459,0,0,88,999,0,1
2023/1/2,21:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,27.1,22.8,77,101200,0,0,439,0,0,0,0,0,0,0,50,3.1,9,9,10,8534,9,'999999999,459,0,0,88,999,0,1
2023/1/2,22:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.7,22.9,80,101300,0,0,436,0,0,0,0,0,0,0,50,2.6,9,9,10,8839,9,'999999999,459,0,0,88,999,0,1
2023/1/2,23:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.4,23,82,101300,0,0,435,0,0,0,0,0,0,0,60,2.6,9,9,12,9000,9,'999999999,459,0,0,88,999,0,1
2023/1/2,0:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26.2,23.2,84,101300,0,0,434,0,0,0,0,0,0,0,40,2.6,9,9,10,7315,9,'999999999,469,0,0,88,999,0,1
2023/1/3,1:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,26,23.2,85,101300,0,0,433,0,0,0,0,0,0,0,60,2.1,9,9,10,5486,9,'999999999,469,0,0,88,999,0,1
2023/1/3,2:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.9,23.1,85,101200,0,0,432,0,0,0,0,0,0,0,50,2.6,9,9,12,9000,9,'999999999,469,0,0,88,999,0,1
2023/1/3,3:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.7,23,85,101200,0,0,431,0,0,0,0,0,0,0,50,2.1,9,9,10,9144,9,'999999999,459,0,0,88,999,0,1
2023/1/3,4:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.5,23.1,87,101100,0,0,430,0,0,0,0,0,0,0,50,2.1,9,9,10,9144,9,'999999999,469,0,0,88,999,0,1
2023/1/3,5:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.3,23,87,101100,0,0,428,0,0,0,0,0,0,0,50,2.1,9,9,10,9000,9,'999999999,459,0,0,88,999,0,1
2023/1/3,6:00,?9?9?9?9E0?9?9?9?9*9?9?9?9?9?9?9?9?9?9*_*9*9,25.2,22.9,87,101100,0,0,428,0,0,0,0,0,0,0,70,2.1,9,9,10,9144,9,'999999999,459,0,0,88,999,0,1
